State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
ANDHRA PRADESH,CHITTOOR,N. REDDEPPA,YSRCP,0,POST GRADUATE,68,17355862,1341542
ANDHRA PRADESH,CHITTOOR,A. HEMANTH,IND,0,5TH PASS,28,50000,0
ANDHRA PRADESH,CHITTOOR,C. PUNYAMURTHY,BSP,4,OTHERS,45,30323800,21635686
ANDHRA PRADESH,CHITTOOR,CHEEMALA. RANGAPPA,INC,0,GRADUATE PROFESSIONAL,60,,
ANDHRA PRADESH,CHITTOOR,JAYARAM DUGGANI,BJP,0,GRADUATE,70,5100000,0
ANDHRA PRADESH,CHITTOOR,NARAMALLI SIVA PRASAD,TDP,0,GRADUATE PROFESSIONAL,68,,
ANDHRA PRADESH,CHITTOOR,P. RAMACHANDRAN,IND,0,GRADUATE PROFESSIONAL,42,3580500,2313000
ANDHRA PRADESH,CHITTOOR,PALLIPATTU. ABHINAV VISHNU,MUNDADUGU PRAJA PARTY,0,GRADUATE PROFESSIONAL,27,92600,0
ANDHRA PRADESH,ELURU,SRIDHAR KOTAGIRI,YSRCP,0,GRADUATE PROFESSIONAL,46,462808829,33560974
ANDHRA PRADESH,ELURU,ALAGA RAVI KUMAR,IND,0,10TH PASS,49,,0
ANDHRA PRADESH,ELURU,CHINNAM RAMA KOTAYYA,BJP,0,10TH PASS,58,100961778,7713964
ANDHRA PRADESH,ELURU,GURUNADHA RAO JETTI,INC,0,GRADUATE,55,,
ANDHRA PRADESH,ELURU,JOSYULA CHINA VENKATA SURYANARAYANA,PYRAMID PARTY OF INDIA,0,GRADUATE,62,12035000,2500000
ANDHRA PRADESH,ELURU,MAGANTI VENKATESWARA RAO,TDP,1,10TH PASS,59,199762023,33303902
ANDHRA PRADESH,ELURU,MATHE BOBBY,RPI(A),0,12TH PASS,29,,
ANDHRA PRADESH,ELURU,MENDEM SANTHOSH KUMAR,IND,0,OTHERS,46,10000,0
ANDHRA PRADESH,GUNTUR,JAYADEV GALLA,TDP,0,GRADUATE,53,,
ANDHRA PRADESH,GUNTUR,ARAVETI HAZARATH RAO,PYRAMID PARTY OF INDIA,0,GRADUATE PROFESSIONAL,68,14924686,180700
ANDHRA PRADESH,GUNTUR,BONABOYINA SRINIVASA RAO,JANASENA PARTY,1,10TH PASS,50,32876690,12482935
ANDHRA PRADESH,GUNTUR,DASARI KIRAN BABU,IND,0,8TH PASS,37,,
ANDHRA PRADESH,GUNTUR,DOPPALAPUDI VEERA DAS,IND,0,GRADUATE,60,5990000,880000
ANDHRA PRADESH,GUNTUR,JACOB VIDYASAGAR NAKKA,VIDUTHALAI CHIRUTHAIGAL KATCHI,2,POST GRADUATE,51,3073000,0
ANDHRA PRADESH,GUNTUR,JAYAPRAKASH NARAYANA VALLURU,BJP,0,GRADUATE PROFESSIONAL,44,39526187,0
ANDHRA PRADESH,GUNTUR,JELDI RAJA MOHAN,ALL INDIA PRAJA PARTY,0,12TH PASS,61,4209000,30000
ANDHRA PRADESH,GUNTUR,MODUGULA VENUGOPALA REDDY,YSRCP,3,GRADUATE PROFESSIONAL,52,137466129,1675274
ANDHRA PRADESH,GUNTUR,RAMARAO SIMHADRI,PRAJA SHANTHI PARTY,0,5TH PASS,41,219000,0
ANDHRA PRADESH,GUNTUR,SAMUDRALA CHINNA KOTAIAH,NATIONAL DALITHA DHAL PARTY,0,10TH PASS,41,,
ANDHRA PRADESH,GUNTUR,SARABANDI RAJU SIKHINAM,INDIAN LABOUR PARTY (AMBEDKAR PHULE),0,POST GRADUATE,35,30000,0
ANDHRA PRADESH,GUNTUR,SHAIK JALEEL,NAVARANG CONGRESS PARTY,0,5TH PASS,43,72625000,0
ANDHRA PRADESH,GUNTUR,SHAIK MASTANVALI,INC,1,POST GRADUATE,53,,
ANDHRA PRADESH,GUNTUR,ULLAGI DAVID JAYAKUMAR,HARDAM MANAVTAWADI RASHTRIYA DAL,0,DOCTORATE,61,131900,0
ANDHRA PRADESH,GUNTUR,UMAR BASHA SHAIK,IND,0,GRADUATE PROFESSIONAL,29,15008000,2000000
ANDHRA PRADESH,HINDUPUR,KURUVA GORANTLA MADHAV,YSRCP,2,GRADUATE,50,,
ANDHRA PRADESH,HINDUPUR,GOGULA PULAKUNTA JAYANTH,IND,0,GRADUATE,61,3196142,16710
ANDHRA PRADESH,HINDUPUR,K.T.SREEDHAR,INC,1,POST GRADUATE,41,43462500,8128000
ANDHRA PRADESH,HINDUPUR,MITTA PARTHASARATHI,BJP,2,GRADUATE,60,357849990,106820000
ANDHRA PRADESH,HINDUPUR,MUGI SURYA PRAKASH,IND,0,GRADUATE,63,43266800,0
ANDHRA PRADESH,HINDUPUR,N.KRISTAPPA,TDP,4,GRADUATE,63,,
ANDHRA PRADESH,HINDUPUR,RAMAMOHAN D.G.,IND,0,12TH PASS,51,447500,0
ANDHRA PRADESH,HINDUPUR,S.R.ANJANEYULU,IND,0,POST GRADUATE,35,43000,0
ANDHRA PRADESH,KADAPA,YEDUGURI SANDINTI AVINASH REDDY,YSRCP,4,POST GRADUATE,34,186969794,22833319
ANDHRA PRADESH,KADAPA,AMEEN PEERAN SHAIK,AMBEDKAR NATIONAL CONGRESS,0,POST GRADUATE,48,83993,9000
ANDHRA PRADESH,KADAPA,CHADIPIRALA ADI NARAYANA REDDY,TDP,0,POST GRADUATE,61,30742398,961319
ANDHRA PRADESH,KADAPA,CHADIPIRALLA SIVA NARAYANA REDDY,NAVARANG CONGRESS PARTY,0,OTHERS,53,,
ANDHRA PRADESH,KADAPA,GONA PURUSHOTTAM REDDY,IND,4,GRADUATE,40,22473647,9206703
ANDHRA PRADESH,KADAPA,GUJJULA ESWARAIAH,CPI,1,POST GRADUATE,50,327881,100000
ANDHRA PRADESH,KADAPA,GUNDLAKUNTA SREERAMULU,INC,0,12TH PASS,42,,
ANDHRA PRADESH,KADAPA,JAKKU CHENNA KRISHNA REDDY,IND,1,10TH PASS,44,24746957,12380000
ANDHRA PRADESH,KADAPA,LAKSHMI REDDY PUTHA,RAJYADHIKARA PARTY,3,GRADUATE PROFESSIONAL,32,7300000,0
ANDHRA PRADESH,KADAPA,PEDAKALA VARALAKSHMI,PYRAMID PARTY OF INDIA,0,GRADUATE PROFESSIONAL,43,11034583,2402564
ANDHRA PRADESH,KADAPA,SIVA CHANDRA REDDY KOMMA,ANNA YSR CONGRESS PARTY,0,POST GRADUATE,0,5160000,1100000
ANDHRA PRADESH,KADAPA,SRI RAMA CHANDRA SINGAREDDY,BJP,0,GRADUATE,50,,
ANDHRA PRADESH,KADAPA,VENU GOPAL RACHINENI,IND,0,10TH PASS,39,3100000,200000
ANDHRA PRADESH,KAKINADA,VANGA GEETHA VISWANATHAM,YSRCP,0,POST GRADUATE,55,202528594,34416878
ANDHRA PRADESH,KAKINADA,ANKADI SATHIBABU,IND,0,ILLITERATE,45,50000,0
ANDHRA PRADESH,KAKINADA,APPALAKONDA VANGALAPUDI,MUNDADUGU PRAJA PARTY,0,POST GRADUATE,28,514707,508707
ANDHRA PRADESH,KAKINADA,BUDDALA GEETHA DEVI,PRAJA SHANTHI PARTY,0,5TH PASS,34,,
ANDHRA PRADESH,KAKINADA,DONAM NEELAKANTAM,ALL INDIA PRAJA PARTY,0,POST GRADUATE,49,1477500,640000
ANDHRA PRADESH,KAKINADA,GODUGU SATYANARAYANA,CPI(ML)(L),0,GRADUATE,40,28000,0
ANDHRA PRADESH,KAKINADA,JYOTHULA VENKATESWARA RAO,JANASENA PARTY,0,12TH PASS,62,,
ANDHRA PRADESH,KAKINADA,KAKILETI RAVINDRA,IND,0,10TH PASS,41,1820000,750000
ANDHRA PRADESH,KAKINADA,MALLIPUDI SRI RAMACHANDRA MURTHY,INC,0,5TH PASS,66,3995000,595000
ANDHRA PRADESH,KAKINADA,PEDDIMSETTI VENKATESWARA RAO,JANA JAGRUTI PARTY,2,12TH PASS,46,23742000,0
ANDHRA PRADESH,KAKINADA,SATHI VEERA LAKSHMI,PYRAMID PARTY OF INDIA,0,ILLITERATE,38,30000,0
ANDHRA PRADESH,KAKINADA,SUNIL KUMAR CHALAMALASETTY,TDP,0,POST GRADUATE,49,,
ANDHRA PRADESH,KAKINADA,VASAMSETTY VENAKTA RAMANA,AIFB,0,10TH PASS,0,4850000,2170000
ANDHRA PRADESH,KAKINADA,YALLA VENKATA RAMA MOHANA RAO,BJP,1,GRADUATE,46,,
ANDHRA PRADESH,KURNOOL,DR SANJEEV KUMAR,YSRCP,0,POST GRADUATE,52,,
ANDHRA PRADESH,KURNOOL,ABDUL WARIS,SDPI,4,8TH PASS,58,5110000,0
